"Campaign Name","SourceKey","Owner","Request Status","Campaign Origin","Campaign No","Comments","Status","Campaign Type","IB/NNN","Starting Quarter","Execution Start Date","Execution End Date","Campaign/WBS Code","DAT link for Content","Digital Assets team support","Briefing for DAT","Roles","Industry (MC)","Sub-Industries","Solution Area L1","Solution Area L2","Partner","Region Name (level 2)","Campaign Priority","Creado","SourceListName","SourceID"
"P2_AUTOQ1","France-12","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P2_AUTOQ1",,"Outreach Sequence",,,"[""Automotive""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","12"
"P1_LSQ1","France-7","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P1_LSQ1",,"Outreach Sequence",,,"[""Life Sciences""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","7"
"P2_A&DQ1","France-11","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P2_A&DQ1",,"Outreach Sequence",,,"[""Aerospace and Defense""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","11"
"D2_T&TQ1","France-18","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D2_T&TQ1",,"Outreach Sequence",,,"[""Travel and Transportation""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","18"
"D6_AGRQ1","France-19","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D6_AGRQ1",,"Outreach Sequence",,,"[""Agribusiness""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","19"
"P2_T&TQ1","France-16","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P2_T&TQ1",,"Outreach Sequence",,,"[""Travel and Transportation""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","16"
"D6_CPQ1","France-21","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D6_CPQ1",,"Outreach Sequence",,,"[""Consumer Products""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","21"
"P2_CPQ1","France-13","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P2_CPQ1",,"Outreach Sequence",,,"[""Consumer Products""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","13"
"D6_WSQ1","France-23","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D6_WSQ1",,"Outreach Sequence",,,"[""Wholesale Distribution""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","23"
"D4_AGRQ1","France-39","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D4_AGRQ1",,"Outreach Sequence",,,"[""Agribusiness""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","39"
"D2_PSQ1","France-17","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D2_PSQ1",,"Outreach Sequence",,,"[""Professional Services""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","17"
"P1_ECOQ1","France-4","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P1_ECOQ1",,"Outreach Sequence",,,"[""Engineering, Construction, and Operations""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","4"
"D1_IMQ1","France-33","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D1_IMQ1",,"Outreach Sequence",,,"[""Industrial Manufacturing""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","33"
"D4_CPQ1","France-41","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D4_CPQ1",,"Outreach Sequence",,,"[""Consumer Products""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","41"
"D6_RTLQ1","France-22","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D6_RTLQ1",,"Outreach Sequence",,,"[""Retail""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","22"
"P2_HTQ1","France-14","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P2_HTQ1",,"Outreach Sequence",,,"[""High Tech""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","14"
"D7_T&TQ1","France-36","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D7_T&TQ1",,"Outreach Sequence",,,"[""Travel and Transportation""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","36"
"F1_ABM ","France-37","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-F1_ABM ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","37"
"D4_AUTOQ1","France-40","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D4_AUTOQ1",,"Outreach Sequence",,,"[""Automotive""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","40"
"D4_RTLQ1","France-42","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D4_RTLQ1",,"Outreach Sequence",,,"[""Retail""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","42"
"D4_WSQ1","France-43","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D4_WSQ1",,"Outreach Sequence",,,"[""Wholesale Distribution""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","43"
"P4_PSQ1","France-45","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P4_PSQ1",,"Outreach Sequence",,,"[""Professional Services""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","45"
"D1_MPMQ1","France-34","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D1_MPMQ1",,"Outreach Sequence",,,"[""Mill Products and Mining""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","34"
"PE1_ABM ","France-38","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-PE1_ABM ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","38"
"F2_ABM ","France-31","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-F2_ABM ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","31"
"P4_MEDQ1","France-44","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-P4_MEDQ1",,"Outreach Sequence",,,"[""Media""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","44"
"PE2_ABM ","France-53","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-PE2_ABM ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","53"
"D5_HERQ1","France-56","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D5_HERQ1",,"Outreach Sequence",,,"[""Higher Education and Research""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","56"
"D5_LSQ1","France-57","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D5_LSQ1",,"Outreach Sequence",,,"[""Life Sciences""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","57"
"F2_OUT ","France-115","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-F2_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","115"
"F1_OUT ","France-118","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-F1_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","118"
"PE2_SL ","France-129","Mai","Completed","DCM","CMP-000","Social Listening + Reverse Social Listening","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-PE2_SL ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","129"
"P1_OUT ","France-110","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-P1_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","110"
"D1_OUT ","France-116","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D1_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","116"
"PE2_OUT ","France-124","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-PE2_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","124"
"D2_OUT ","France-112","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D2_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","112"
"D5_SL ","France-131","Mai","Completed","DCM","CMP-000","Social Listening + Reverse Social Listening","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D5_SL ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","131"
"PE1_OUT ","France-119","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-PE1_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","119"
"D4_OUT ","France-120","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D4_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","120"
"P1_SL ","France-126","Mai","Completed","DCM","CMP-000","Social Listening + Reverse Social Listening","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-P1_SL ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","126"
"P4_OUT ","France-121","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-P4_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","121"
"P2_3PP ","France-135","Mai","Completed","DCM","CMP-000","3rd Party Providers","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-P2_3PP ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","135"
"F1_3PP ","France-139","Mai","Completed","DCM","CMP-000","3rd Party Providers","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-F1_3PP ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","139"
"D7_OUT ","France-117","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D7_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","117"
"P4_3PP ","France-138","Mai","Completed","DCM","CMP-000","3rd Party Providers","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-P4_3PP ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","138"
"D6_SL ","France-132","Mai","Completed","DCM","CMP-000","Social Listening + Reverse Social Listening","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D6_SL ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","132"
"D6_OUT ","France-113","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D6_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","113"
"P1_3PP ","France-134","Mai","Completed","DCM","CMP-000","3rd Party Providers","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-P1_3PP ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","134"
"D7_SL ","France-133","Mai","Completed","DCM","CMP-000","Social Listening + Reverse Social Listening","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D7_SL ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","133"
"D5_CHEMQ1","France-54","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D5_CHEMQ1",,"Outreach Sequence",,,"[""Chemicals""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","54"
"P3_3PP ","France-136","Mai","Completed","DCM","CMP-000","3rd Party Providers","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-P3_3PP ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","136"
"P2_SL ","France-137","Mai","Completed","DCM","CMP-000","Social Listening + Reverse Social Listening","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-P2_SL ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","137"
"D5_OUT ","France-125","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D5_OUT ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","125"
"D2_SL ","France-127","Mai","Completed","DCM","CMP-000","Social Listening + Reverse Social Listening","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D2_SL ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","127"
"D5_HCQ1","France-55","Mai","Completed","DCM","CMP-000","Check the TAL with your Account Executive + Check the available assets, one pagers, sequences & Sales play","Planned","Outreach Campaign","NNN","2026-Q1","1/15/2026","3/30/2026","CRM-WE26-S4H-D5_HCQ1",,"Outreach Sequence",,,"[""Healthcare""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","55"
"D4_SL ","France-130","Mai","Completed","DCM","CMP-000","Social Listening + Reverse Social Listening","Running","Outreach Campaign","NNN","2026-Q1","1/15/2026","12/31/2026","CRM-WE26-S4H-D4_SL ",,"Outreach Sequence",,,"[""Cross Industry""]",,"[""Finance and Spend Management""]","[""S/4HANA Finance""]",,"CS France",,"3/5/2026 5:10 PM","France","130"
